Time [ms],Date,Time,Rel.Time [s],Infinity|RESP.RR [BREATHS_PER_MIN],Infinity|ECG.PVC_RATE [BEATS_PER_MIN],Infinity|ECG.ST_LEAD_DERIVED_V5 [MM],Infinity|ECG.ST_LEAD_DERIVED_V2 [MM],Infinity|ECG.HR [BEATS_PER_MIN],Infinity|ECG.PP [PERCENT],Infinity|ECG.ARR [BEATS_PER_MIN],Infinity|NIBP.SYSTOLIC [MMHG],Infinity|NIBP.MEAN [MMHG],Infinity|NIBP.DIASTOLIC [MMHG],Infinity|SPO2.Pr [BEATS_PER_MIN],Infinity|SPO2.SATURATION [PERCENT]
1642287222535,2022-01-15,23:53:42.535,70,56.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287223535,2022-01-15,23:53:43.535,71,60.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287224535,2022-01-15,23:53:44.535,72,51.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287225535,2022-01-15,23:53:45.535,73,59.0000,1.0000,0.1000,0.1000,167.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287226550,2022-01-15,23:53:46.550,74,59.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287227534,2022-01-15,23:53:47.534,75,59.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287228534,2022-01-15,23:53:48.534,76,71.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,167.0000,99.0000
1642287229549,2022-01-15,23:53:49.549,77,71.0000,1.0000,0.1000,0.1000,169.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287230534,2022-01-15,23:53:50.534,78,74.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,1.0000,169.0000,99.0000
1642287231533,2022-01-15,23:53:51.533,79,71.0000,1.0000,0.1000,0.1000,170.0000,1.0000,1.0000,1.0000,1.0000,,,
